(Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating)
(Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating)
(Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating)
(Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating)
(Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating)
(Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating)
Driver A, (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), Driver B
Driver A, (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), Driver B
Driver A, Driver C, Driver D, Driver E, Driver A, Driver D, Driver B
Driver A, Driver C, Driver D, Driver E, Driver A, Driver D, Driver B
Driver F, Driver G, Driver E, Driver A, Driver A, Driver D, Driver F
Driver F, Driver G, Driver E, Driver A, Driver C, Driver G, Driver F
Driver H, Driver I, Driver E, Driver D, Driver C, Driver G, Driver D
Driver H, Driver I, Driver E, Driver D, Driver E, Driver F, Driver D
Driver H, Driver I, Driver B, Driver F, Driver E, Driver F, Driver D
Driver H, Driver I, Driver B, Driver F, Driver A, Driver F, Driver A
(Not operating), (Not operating), (Not operating), Driver I, Driver I, Driver I, (Not operating)
(Not operating), (Not operating), (Not operating), Driver I, Driver I, Driver I, (Not operating)
(Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating), (Not operating)
